age,education,education-num,marital-status,occupation,relationship,race,sex
29,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male
23,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male
79,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male
27,HS-grad,9,Never-married,Other-service,Own-child,White,Male
40,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male
67,10th,6,Married-civ-spouse,?,Husband,White,Male
18,11th,7,Never-married,Other-service,Own-child,White,Female
31,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male
18,HS-grad,9,Never-married,Sales,Not-in-family,White,Male
52,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male
46,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female
59,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male
44,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female
53,HS-grad,9,Divorced,Sales,Own-child,White,Female
49,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male
33,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male
30,9th,5,Never-married,Sales,Not-in-family,White,Male
43,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female
57,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male
37,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female
28,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female
30,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female
34,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male
29,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male
48,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male
37,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
48,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female
32,HS-grad,9,Never-married,Other-service,Own-child,Black,Male
76,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male
44,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
47,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female
20,Some-college,10,Never-married,Tech-support,Own-child,White,Female
29,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male
32,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
17,10th,6,Never-married,?,Own-child,White,Female
30,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male
31,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female
42,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male
24,Bachelors,13,Never-married,Sales,Other-relative,White,Male
38,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male
56,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male
28,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female
36,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female
53,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male
56,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
49,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male
55,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
22,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male
21,Some-college,10,Never-married,Other-service,Own-child,White,Female
40,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
30,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male
29,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
19,Some-college,10,Never-married,Other-service,Own-child,Black,Male
47,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female
20,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female
31,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male
35,HS-grad,9,Married-civ-spouse,?,Husband,White,Male
39,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male
28,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female
24,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female
38,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
37,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male
46,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female
38,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male
43,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
27,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female
20,Some-college,10,Never-married,Sales,Own-child,White,Male
49,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male
61,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
27,Some-college,10,Never-married,Sales,Own-child,White,Female
19,Some-college,10,Never-married,Other-service,Own-child,White,Male
45,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female
70,Some-college,10,Never-married,Tech-support,Other-relative,White,Male
31,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female
22,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male
36,HS-grad,9,Widowed,Other-service,Unmarried,White,Female
64,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male
43,Some-college,10,Divorced,?,Not-in-family,White,Female
47,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female
34,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female
33,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female
21,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male
52,HS-grad,9,Divorced,?,Not-in-family,White,Male
48,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
23,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male
71,Some-college,10,Separated,Sales,Unmarried,Black,Male
29,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male
42,Bachelors,13,Separated,Other-service,Other-relative,Black,Male
68,1st-4th,2,Divorced,?,Not-in-family,White,Female
25,HS-grad,9,Never-married,Other-service,Unmarried,White,Female
44,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female
28,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female
45,Masters,14,Married-civ-spouse,Sales,Husband,White,Male
36,Some-college,10,Divorced,Other-service,Unmarried,White,Female
39,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male
46,Masters,14,Widowed,Protective-serv,Unmarried,White,Male
18,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male
66,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female
27,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male
28,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male
51,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
27,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male
28,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
27,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female
21,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male
34,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male
18,HS-grad,9,Never-married,Other-service,Own-child,White,Male
33,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
44,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male
43,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female
30,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male
40,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
37,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male
34,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male
41,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female
53,Bachelors,13,Divorced,?,Not-in-family,White,Female
31,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female
58,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male
38,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female
24,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
41,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male
47,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male
41,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male
23,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male
36,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male
40,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female
35,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male
24,HS-grad,9,Never-married,Sales,Not-in-family,White,Male
26,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female
19,HS-grad,9,Never-married,?,Own-child,White,Male
51,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
42,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female
37,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female
18,11th,7,Never-married,Sales,Own-child,White,Female
36,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male
35,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male
58,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female
17,11th,7,Never-married,Sales,Own-child,White,Female
44,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male
37,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
35,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female
60,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male
54,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
37,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male
50,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female
38,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male
45,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
25,10th,6,Never-married,Craft-repair,Not-in-family,White,Male
31,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male
64,1st-4th,2,Divorced,?,Not-in-family,White,Male
90,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male
54,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male
53,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female
18,HS-grad,9,Never-married,Sales,Own-child,White,Female
60,10th,6,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female
66,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male
75,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female
65,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female
35,11th,7,Separated,Transport-moving,Not-in-family,Black,Male
41,HS-grad,9,Divorced,Sales,Unmarried,Black,Female
25,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male
33,Some-college,10,Divorced,Craft-repair,Other-relative,Other,Female
28,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male
59,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male
40,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female
41,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
38,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male
23,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male
40,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
41,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female
24,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male
20,Some-college,10,Never-married,?,Own-child,White,Male
38,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male
56,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male
58,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male
32,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female
40,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male
45,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male
41,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female
42,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female
59,10th,6,Widowed,Other-service,Unmarried,Black,Female
19,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male
58,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male
42,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male
20,HS-grad,9,Never-married,Other-service,Own-child,White,Female
32,HS-grad,9,Separated,Other-service,Not-in-family,White,Female
45,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,White,Female
50,7th-8th,4,Divorced,Craft-repair,Not-in-family,White,Male
36,Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female
45,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male
17,11th,7,Never-married,Other-service,Own-child,White,Male
59,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
26,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male
37,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male
19,Some-college,10,Never-married,?,Own-child,White,Male
64,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male
33,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female
33,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female
61,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male
17,9th,5,Never-married,Other-service,Own-child,White,Male
50,Masters,14,Married-civ-spouse,Farming-fishing,Husband,White,Male
27,Masters,14,Never-married,Prof-specialty,Own-child,White,Male
30,HS-grad,9,Divorced,Prof-specialty,Own-child,White,Female
43,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male
44,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male
35,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female
25,Some-college,10,Never-married,Tech-support,Own-child,White,Female
24,Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female
22,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female
42,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male
34,Assoc-acdm,12,Divorced,Sales,Unmarried,Black,Female
60,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female
21,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male
57,Masters,14,Married-civ-spouse,Sales,Husband,White,Male
41,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male
50,Some-college,10,Divorced,Other-service,Not-in-family,White,Male
25,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female
50,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male
36,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
31,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female
29,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Male
21,Some-college,10,Never-married,Sales,Own-child,White,Male
27,Bachelors,13,Never-married,Tech-support,Unmarried,Black,Female
65,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male
37,Bachelors,13,Divorced,Sales,Not-in-family,White,Female
39,Masters,14,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female
24,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male
38,HS-grad,9,Divorced,Sales,Not-in-family,White,Male
48,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male
21,Some-college,10,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female
31,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male
55,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male
24,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female
43,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female
26,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Male
46,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female
35,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male
41,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male
26,Bachelors,13,Never-married,Sales,Not-in-family,White,Male
34,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male
19,Some-college,10,Never-married,?,Own-child,Black,Female
36,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Female
22,Some-college,10,Never-married,Sales,Own-child,White,Male
24,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male
77,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
22,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female
29,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female
62,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female
39,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male
43,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male
35,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male
29,11th,7,Never-married,Exec-managerial,Not-in-family,White,Female
76,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male
63,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male
23,Assoc-voc,11,Never-married,?,Own-child,Black,Female
43,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female
58,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male
66,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male
41,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male
26,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male
47,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Male
55,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male
53,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male
17,5th-6th,3,Never-married,Other-service,Other-relative,White,Male
30,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male
49,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male
19,HS-grad,9,Never-married,Sales,Unmarried,Black,Male
45,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male
26,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male
38,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male
36,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male
33,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male
22,Some-college,10,Never-married,Protective-serv,Own-child,Black,Female
43,Bachelors,13,Never-married,Sales,Not-in-family,White,Male
67,11th,7,Married-civ-spouse,?,Husband,White,Male
30,Assoc-voc,11,Divorced,?,Unmarried,White,Female
56,Assoc-acdm,12,Married-spouse-absent,Other-service,Not-in-family,White,Male
31,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male
33,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
26,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male
33,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
46,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male
59,Bachelors,13,Married-civ-spouse,?,Husband,White,Male
38,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male
65,11th,7,Widowed,Other-service,Unmarried,Other,Male
40,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male
42,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female
26,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male
36,10th,6,Married-civ-spouse,Other-service,Wife,White,Female
62,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male
43,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male
43,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male
22,HS-grad,9,Married-spouse-absent,Sales,Not-in-family,White,Male
28,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
56,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
22,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female
57,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female
39,HS-grad,9,Divorced,Sales,Unmarried,White,Female
26,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female
17,11th,7,Never-married,Other-service,Own-child,White,Male
40,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
45,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male
44,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male
20,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female
33,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female
23,Some-college,10,Never-married,Sales,Not-in-family,White,Male
46,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male
38,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male
54,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male
46,5th-6th,3,Divorced,Craft-repair,Not-in-family,White,Female
25,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male
46,Some-college,10,Divorced,Sales,Not-in-family,White,Female
36,Some-college,10,Married-civ-spouse,Transport-moving,Wife,White,Female
23,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female
29,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Male
44,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female
19,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female
19,HS-grad,9,Never-married,Other-service,Other-relative,White,Female
35,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female
27,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male
46,Assoc-acdm,12,Separated,Craft-repair,Not-in-family,White,Male
34,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
34,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female
44,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male
45,Some-college,10,Divorced,Handlers-cleaners,Unmarried,White,Female
20,HS-grad,9,Never-married,?,Other-relative,White,Female
25,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
52,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
20,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male
28,Some-college,10,Never-married,Other-service,Not-in-family,White,Female
50,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male
